HIND Total Household Income (weekly),Negative income,,,,,Nil income,,,,,"$1-$149 ($1-$7,799)",,,,,"$150-$299 ($7,800-$15,599)",,,,,"$300-$399 ($15,600-$20,799)",,,,,"$400-$499 ($20,800-$25,999)",,,,,"$500-$649 ($26,000-$33,799)",,,,,"$650-$799 ($33,800-$41,599)",,,,,"$800-$999 ($41,600-$51,999)",,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,"$1,500-$1,749 ($78,000-$90,999)",,,,,"$1,750-$1,999 ($91,000-$103,999)",,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,"$4,000-$4,499 ($208,000-$233,999)",,,,,"$4,500-$4,999 ($234,000-$259,999)",,,,,"$5,000-$5,999 ($260,000-$311,999)",,,,,"$6,000-$7,999 ($312,000-$415,999)",,,,,"$8,000 or more ($416,000 or more)",,,,,Partial income stated,,,,,All incomes not stated,,,,,Not applicable,,,,,Total,,,,
HHCD - 1 Digit Level,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
POA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4051, QLD",6,0,9,0,0,31,0,69,0,0,20,0,44,0,0,32,0,116,5,0,36,0,234,4,0,80,0,450,7,0,98,0,261,0,0,200,0,214,0,0,235,0,261,4,0,348,0,331,4,0,317,0,280,9,0,331,10,246,0,0,335,4,199,0,0,758,14,336,12,0,605,6,73,3,0,467,4,38,4,0,472,0,133,3,0,324,7,12,0,0,383,5,10,0,0,339,5,3,0,0,337,4,4,0,0,26,0,0,0,0,629,10,190,0,0,44,0,98,11,0,0,0,0,418,1021,6457,72,3619,483,1021
"4053, QLD",10,0,9,0,0,55,0,75,0,0,37,0,34,0,0,53,0,167,3,0,56,0,317,0,0,183,0,634,7,0,232,0,406,3,0,583,0,334,5,0,547,4,393,3,0,732,13,438,5,0,791,0,351,10,0,698,5,296,3,0,749,12,222,8,0,1606,23,368,3,0,1305,22,86,0,0,961,21,38,0,0,688,15,86,3,0,419,7,10,0,0,348,11,5,4,0,302,18,3,0,0,169,6,7,0,0,17,0,0,0,0,1005,26,172,0,0,116,0,159,21,0,0,0,0,453,1337,11642,190,4614,539,1337
"4054, QLD",0,0,0,0,0,10,0,24,0,0,10,0,15,0,0,24,0,59,0,0,21,0,87,0,0,79,0,222,0,0,106,0,113,0,0,223,0,100,0,0,214,0,98,0,0,297,4,119,0,0,244,4,94,0,0,253,3,82,0,0,235,7,49,0,0,535,11,71,5,0,423,3,15,0,0,284,6,9,0,0,177,4,26,0,0,77,4,0,0,0,70,4,0,0,0,55,3,0,0,0,26,4,0,0,0,0,0,0,0,0,292,17,30,0,0,35,0,73,0,0,0,0,0,97,356,3693,81,1284,109,356
"4055, QLD",0,0,3,0,0,19,0,16,0,0,18,0,6,0,0,21,0,37,0,0,25,0,48,4,0,74,0,118,0,0,70,0,91,0,0,203,0,67,0,0,232,0,100,0,0,351,3,104,6,0,339,0,77,5,0,324,5,71,0,0,358,8,53,0,0,828,19,106,0,0,682,11,9,0,0,500,12,0,0,0,345,6,14,0,0,213,16,0,0,0,169,8,0,0,0,157,9,0,0,0,95,10,0,0,0,9,3,0,0,0,530,11,21,0,0,30,0,31,3,0,0,0,0,111,312,5601,126,985,140,312
"4059, QLD",3,0,13,0,0,58,0,191,6,0,14,0,43,0,0,21,0,93,3,0,10,0,101,0,0,40,0,150,0,0,53,0,149,0,0,81,0,119,0,0,126,0,144,0,0,164,0,213,3,0,178,0,164,0,0,148,3,149,0,0,148,0,111,0,0,282,0,205,4,0,232,3,47,0,0,203,4,32,0,0,208,0,92,0,0,123,0,19,0,0,124,3,16,0,0,130,4,12,0,0,116,0,7,5,0,10,0,5,0,0,214,3,161,0,0,18,3,47,37,0,0,0,0,351,506,2712,25,2257,417,506
"4060, QLD",0,0,7,0,0,12,0,18,0,0,18,0,9,0,0,5,0,39,4,0,10,0,60,0,0,27,0,119,0,0,38,0,121,0,0,78,0,78,4,0,96,0,88,4,0,120,0,109,9,0,158,0,82,0,0,142,0,68,0,0,135,0,62,3,0,357,0,127,4,0,271,3,26,3,0,248,3,11,0,0,277,0,44,6,0,175,0,5,0,0,219,0,5,0,0,237,0,0,0,0,209,5,4,0,0,30,0,0,0,0,321,6,65,0,0,21,0,26,38,0,0,0,0,171,444,3194,29,1166,251,444
"4061, QLD",0,0,3,0,0,25,0,20,0,0,13,0,7,0,0,19,0,43,0,0,9,0,42,3,0,54,0,140,3,0,74,0,79,6,0,148,0,85,0,0,177,0,95,0,0,290,3,98,3,0,265,4,66,6,0,213,4,66,0,0,257,4,56,0,0,533,7,67,3,0,515,4,12,0,0,366,18,0,0,0,322,10,36,0,0,237,11,0,0,0,224,0,0,0,0,234,0,0,0,0,127,8,0,0,0,15,0,0,0,0,419,4,35,0,0,20,0,29,4,0,0,0,0,126,287,4556,82,973,160,287
"4064, QLD",3,0,3,0,0,20,0,44,4,0,9,0,16,0,0,11,0,52,0,0,6,0,76,0,0,26,0,103,5,0,19,0,84,0,0,45,0,75,0,0,66,0,108,5,0,79,0,147,0,0,105,0,142,3,0,114,0,145,0,0,91,0,99,0,0,275,4,196,9,0,210,0,51,0,0,192,0,45,0,0,176,8,137,4,0,126,0,20,0,0,169,0,17,0,0,161,6,6,0,0,203,4,9,0,0,27,0,6,0,0,252,4,129,0,0,6,0,26,16,0,0,0,0,219,645,2393,30,1729,273,645
"4065, QLD",0,0,7,0,0,15,0,9,0,0,7,0,13,0,0,8,0,25,0,0,6,0,42,0,0,23,0,76,0,0,18,0,67,0,0,66,0,56,4,0,51,0,76,7,0,97,0,72,0,0,115,0,56,0,0,77,0,51,4,0,92,0,41,0,0,213,0,61,0,0,199,4,12,0,0,177,0,14,0,0,204,0,60,0,0,139,3,6,0,0,197,0,3,0,0,197,3,3,0,0,197,3,0,0,0,27,0,0,0,0,225,6,41,0,0,16,0,26,5,0,0,0,0,111,321,2378,29,797,143,321
"4066, QLD",4,0,17,0,0,47,0,156,3,0,21,0,37,4,0,23,0,95,3,0,20,0,95,0,0,50,0,170,0,0,58,0,177,3,0,97,0,149,3,0,125,0,210,5,0,180,0,253,3,0,212,0,276,3,0,183,0,270,0,0,236,0,166,0,0,426,0,331,3,0,313,0,75,0,0,260,0,55,4,0,229,0,128,0,0,157,0,10,0,0,170,3,15,0,0,213,0,14,0,0,187,3,9,4,0,25,4,0,0,0,301,4,196,0,0,15,0,33,31,0,0,0,0,459,751,3550,24,2953,543,751
"4067, QLD",5,0,14,0,0,47,0,238,4,0,20,0,48,5,0,29,0,108,3,0,16,0,42,0,0,35,0,108,3,0,61,0,128,4,0,67,0,101,0,0,78,0,132,0,0,122,0,113,0,0,109,0,129,3,0,91,0,138,0,0,98,0,58,0,0,168,0,147,0,0,132,0,36,0,0,106,3,19,0,0,105,0,70,0,0,68,0,5,0,0,57,0,3,0,0,98,0,0,0,0,110,3,4,0,0,9,3,0,0,0,145,5,132,0,0,9,0,18,42,0,0,0,0,222,374,1790,21,1799,300,374
"4068, QLD",8,0,9,0,0,103,0,195,4,0,22,0,60,3,0,41,0,127,3,0,31,0,131,5,0,69,0,263,4,0,97,0,229,4,0,186,0,220,9,0,203,3,248,4,0,316,4,314,3,0,331,3,295,0,0,322,0,265,4,0,309,5,202,3,0,626,4,309,3,0,471,4,80,0,0,313,3,49,3,0,371,5,151,3,0,236,3,15,0,0,237,6,6,0,0,269,12,8,0,0,270,6,6,0,0,43,0,0,0,0,563,11,250,0,0,30,0,93,41,0,0,0,0,341,962,5465,58,3544,431,962
"4069, QLD",4,0,7,0,0,55,0,49,0,0,34,0,24,0,0,37,0,65,0,0,24,0,107,0,0,111,0,226,3,0,92,0,172,5,0,219,0,117,3,0,314,0,145,0,0,414,5,191,8,0,421,6,106,6,0,383,0,110,0,0,413,11,92,5,0,950,14,136,4,0,790,15,21,0,0,691,16,15,0,0,667,19,98,5,0,562,14,13,0,0,562,18,3,0,0,550,17,3,0,0,463,10,0,0,0,87,9,0,0,0,1034,34,67,0,0,74,0,66,17,0,0,0,0,211,797,8936,186,1813,271,797
"4070, QLD",4,0,3,0,0,14,0,9,0,0,5,0,10,0,0,8,0,22,0,0,10,0,30,0,0,37,0,65,0,0,44,0,42,0,0,120,0,25,0,0,137,3,40,0,0,193,0,53,0,0,177,0,36,0,0,178,6,49,0,0,182,0,28,0,0,424,8,39,3,0,393,12,9,0,0,246,10,7,0,0,201,8,17,0,0,126,9,0,0,0,115,4,0,0,0,103,5,0,0,0,50,3,0,0,0,9,6,0,0,0,320,16,6,0,0,25,0,21,4,0,0,0,0,87,198,3132,88,507,96,198
"4072, QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,3,10
"4073, QLD",8,0,0,0,0,19,0,8,0,0,12,0,4,0,0,13,0,21,0,0,7,0,14,0,0,22,0,55,0,0,34,0,39,0,0,67,0,33,0,0,90,0,36,0,0,120,0,38,0,0,129,0,32,0,0,126,0,42,0,0,142,0,24,0,0,315,3,49,3,0,240,0,12,0,0,242,3,7,0,0,166,5,23,0,0,137,5,0,0,0,124,6,0,0,0,115,5,0,0,0,64,0,0,0,0,13,0,0,0,0,215,6,9,0,0,12,0,13,4,0,0,0,0,43,171,2436,47,457,50,171
"4074, QLD",15,0,3,0,0,33,0,36,0,0,33,0,15,0,0,42,0,51,0,0,36,0,78,0,0,97,0,171,6,0,123,0,142,0,0,266,5,122,0,0,297,0,110,0,0,410,3,159,0,0,417,8,119,3,0,371,5,107,0,0,398,8,77,0,0,917,19,111,0,0,741,22,29,0,0,530,17,12,0,0,356,15,54,0,0,215,12,6,0,0,177,14,0,0,0,185,17,5,0,0,133,8,3,0,0,12,6,0,0,0,617,28,43,0,0,42,0,43,10,0,0,0,0,160,532,6468,182,1501,184,532
"4075, QLD",3,0,4,0,0,18,0,43,0,0,19,0,25,0,0,30,0,75,4,0,22,0,123,0,0,91,0,287,4,0,87,0,202,0,0,247,0,170,0,0,222,0,198,3,0,340,3,192,3,0,384,3,153,0,0,281,5,160,0,0,313,3,126,5,0,756,15,161,0,0,612,9,30,0,0,484,5,24,0,0,397,5,68,0,0,245,5,7,0,0,275,10,0,0,0,270,5,0,4,0,189,3,7,0,0,26,0,0,0,0,507,11,82,0,0,47,0,71,9,0,0,0,0,331,687,5863,97,2210,362,687
"4076, QLD",0,0,0,0,0,14,0,14,0,0,5,0,11,0,0,6,0,25,0,0,8,0,42,0,0,48,0,62,0,0,41,0,32,0,0,100,0,25,4,0,92,0,64,0,0,86,5,40,0,0,101,5,46,0,0,77,7,27,0,0,82,3,14,0,0,137,5,24,0,0,80,6,4,3,0,34,4,5,0,0,30,6,3,0,0,10,6,0,0,0,6,0,0,0,0,6,0,0,0,0,5,3,0,0,0,0,0,0,0,0,107,10,19,0,0,19,0,26,0,0,0,0,0,182,119,1107,54,491,186,119
"4077, QLD",21,0,3,0,0,94,0,63,4,0,48,0,36,0,0,113,0,172,6,0,110,0,267,0,0,304,9,560,3,0,322,0,228,6,0,616,10,197,4,0,561,25,217,4,0,685,40,230,9,0,664,28,134,0,0,462,27,95,0,0,418,29,46,0,0,674,48,78,7,0,383,40,17,0,0,164,25,4,3,0,111,23,28,0,0,47,9,0,0,0,39,6,0,0,0,18,7,0,0,0,21,3,0,0,0,6,3,0,0,0,586,66,75,4,0,128,0,169,17,0,0,0,0,826,592,6597,393,2622,901,592
"4078, QLD",9,0,3,0,0,37,0,35,0,0,23,0,19,0,0,47,0,62,0,0,39,0,97,0,0,139,0,250,3,0,138,0,119,0,0,384,0,120,0,0,346,3,188,4,0,519,14,177,3,0,547,11,165,4,0,479,5,132,3,0,506,21,87,0,0,1014,34,110,0,0,633,34,15,0,0,401,22,6,0,0,263,12,19,0,0,124,10,0,0,0,101,6,0,0,0,77,12,5,0,0,38,11,0,0,0,0,4,0,0,0,560,36,38,0,0,70,3,58,10,0,0,0,0,317,440,6483,233,1699,343,440
"4101, QLD",11,0,23,0,0,85,0,165,8,0,32,0,48,6,0,30,0,160,0,0,28,0,216,11,0,82,0,282,3,0,92,0,212,5,0,176,0,215,10,0,164,0,286,5,0,272,3,341,9,0,283,0,319,6,0,241,4,269,0,0,235,0,225,9,0,603,7,428,15,0,476,8,84,4,0,364,3,63,3,0,336,3,259,6,0,180,0,20,0,0,186,5,25,5,0,188,0,22,0,0,175,3,13,0,0,20,0,0,0,0,451,14,244,0,0,31,0,72,140,0,0,0,0,790,1376,4723,62,3987,1040,1376
"4102, QLD",0,0,8,0,0,12,0,55,4,0,7,0,26,0,0,13,0,76,5,0,17,0,106,0,0,48,0,158,6,0,27,0,73,4,0,64,3,67,3,0,58,0,93,5,0,89,3,99,7,0,87,3,96,5,0,93,0,80,0,0,85,0,58,0,0,196,5,102,7,0,157,5,37,4,0,95,4,17,0,0,85,0,45,4,0,51,0,4,0,0,47,0,3,0,0,48,0,4,0,0,43,0,3,0,0,4,0,0,0,0,120,6,96,0,0,9,0,38,31,0,0,0,0,260,470,1451,37,1365,346,470
"4103, QLD",10,0,8,0,0,15,0,57,0,0,9,0,27,0,0,20,0,120,0,0,22,0,139,0,0,64,0,250,0,0,63,0,164,0,0,136,0,129,6,0,142,0,151,4,0,184,3,249,6,0,189,3,188,3,0,171,0,176,3,0,191,0,133,0,0,421,5,190,7,0,326,0,74,0,0,263,7,28,0,0,194,5,57,0,0,106,0,8,0,0,107,3,8,0,0,102,0,8,0,0,72,8,3,0,0,10,0,0,0,0,287,15,156,0,0,31,0,56,6,0,0,0,0,300,539,3121,60,2406,347,539
"4104, QLD",0,0,3,0,0,13,0,12,0,0,5,0,9,0,0,9,0,52,0,0,5,0,91,0,0,28,0,116,0,0,18,0,76,0,0,64,0,62,0,0,61,0,86,0,0,97,0,82,0,0,104,0,65,0,0,84,0,75,0,0,65,0,59,0,0,171,0,93,0,0,139,0,12,6,0,119,0,11,0,0,97,0,26,0,0,52,0,4,0,0,72,5,0,0,0,73,0,0,0,0,88,0,0,0,0,10,0,0,0,0,130,0,64,0,0,18,0,32,7,0,0,0,0,194,230,1517,12,1026,215,230
"4105, QLD",0,0,6,0,0,25,0,38,4,0,10,0,19,0,0,15,0,88,0,0,18,0,127,0,0,65,0,222,0,0,63,0,134,3,0,145,0,107,3,0,136,0,150,0,0,212,0,193,0,0,222,0,127,0,0,196,0,133,5,0,203,5,98,5,0,445,5,140,3,0,377,5,31,4,0,269,8,21,0,0,199,3,52,0,0,117,0,9,0,0,100,4,0,0,0,93,4,0,0,0,68,0,0,5,0,12,0,0,0,0,262,8,78,0,0,27,0,64,12,0,0,0,0,246,541,3294,47,1826,293,541
"4106, QLD",0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,10,0,0,6,0,13,0,0,12,0,15,0,0,12,0,20,0,0,20,0,17,0,0,25,0,17,0,0,22,0,29,0,0,34,0,19,0,0,27,0,18,0,0,21,0,7,0,0,47,0,13,0,0,28,0,4,0,0,17,0,0,0,0,10,0,4,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30,3,13,0,0,3,0,9,0,0,0,0,0,38,71,325,14,224,41,71
"4107, QLD",0,0,0,0,0,0,0,10,0,0,4,0,5,0,0,4,0,27,0,0,0,0,35,3,0,26,0,104,0,0,33,0,54,0,0,79,0,60,3,0,76,0,50,0,0,118,3,55,3,0,110,3,67,0,0,117,4,26,0,0,108,0,27,0,0,205,4,40,0,0,199,4,19,0,0,121,5,7,0,0,84,0,10,0,0,22,0,0,0,0,32,0,3,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,124,6,20,0,0,21,0,13,8,0,0,0,0,90,150,1505,25,653,110,150
"4108, QLD",5,0,8,0,0,9,0,28,0,0,6,0,5,3,0,13,0,34,0,0,16,0,68,0,0,43,0,106,0,0,50,0,54,0,0,115,0,52,0,0,68,0,68,4,0,119,0,53,0,0,111,7,45,0,0,100,0,40,0,0,87,3,32,0,0,179,12,39,0,0,113,4,15,0,0,68,6,5,0,0,40,14,6,0,0,11,4,0,0,0,8,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,11,34,0,0,14,0,31,5,0,0,0,0,120,164,1276,57,719,141,164
"4109, QLD",15,0,21,0,0,157,0,200,4,0,64,3,74,0,0,99,0,153,0,0,70,4,182,0,0,227,0,440,6,0,231,11,247,4,0,513,3,207,7,0,542,15,231,8,0,731,37,246,13,0,662,24,218,7,0,518,20,160,0,0,510,38,108,0,0,958,69,175,7,0,636,62,68,0,0,407,47,33,0,0,271,33,56,0,0,169,17,15,0,0,131,19,8,0,0,137,20,7,0,0,86,15,3,0,0,23,3,0,0,0,837,72,177,0,0,77,6,127,63,0,0,0,0,390,841,8069,528,3144,517,841
"4110, QLD",7,0,4,0,0,27,0,18,0,0,13,0,13,0,0,32,0,47,0,0,15,0,82,0,0,78,0,129,0,0,72,0,74,0,0,188,0,59,0,0,203,0,72,0,0,229,8,86,0,0,209,7,62,3,0,188,9,48,0,0,164,17,30,0,0,343,15,46,5,0,225,11,9,0,0,135,13,3,0,0,77,5,9,0,0,30,10,0,0,0,30,0,0,0,0,16,7,0,0,0,16,4,0,0,0,0,0,0,0,0,223,10,34,0,0,44,0,34,4,0,0,0,0,221,283,2561,113,852,238,283
"4111, QLD",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,13,0,0,3,0,8,0,0,9,0,6,0,0,10,0,7,0,0,20,0,13,0,0,17,0,13,0,0,14,0,0,0,0,14,0,6,0,0,33,0,7,0,0,25,0,0,0,0,15,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,9,0,0,6,0,3,0,0,0,0,0,15,30,189,3,106,15,30
"4112, QLD",3,0,4,0,0,32,0,14,0,0,9,0,7,0,0,17,0,10,0,0,18,0,14,0,0,35,0,42,0,0,46,0,24,0,0,90,0,27,0,0,102,4,30,0,0,143,3,33,0,0,148,7,14,0,0,108,4,26,6,0,107,6,16,0,0,285,12,21,0,0,193,14,9,0,0,123,9,3,0,0,111,5,3,0,0,50,4,0,0,0,43,0,0,0,0,47,0,0,0,0,26,3,0,0,0,3,0,0,0,0,165,6,13,0,0,19,0,9,0,0,0,0,0,64,142,1933,102,321,76,142
"4113, QLD",15,0,13,0,0,121,0,124,0,0,55,0,33,0,0,69,3,75,7,0,57,0,106,0,0,164,0,233,8,0,190,6,173,3,0,404,5,145,7,0,427,5,216,10,0,613,25,226,13,0,573,23,189,8,0,509,24,139,4,0,544,29,95,12,0,917,51,148,7,0,598,47,40,8,0,394,24,18,0,0,260,29,24,6,0,135,15,9,0,0,109,4,5,0,0,117,19,3,0,0,80,13,0,0,0,7,0,0,0,0,580,57,102,0,0,65,4,61,64,0,0,0,0,324,568,7002,398,2191,490,568
"4114, QLD",21,0,13,0,0,75,0,55,0,0,42,0,41,0,0,102,0,169,5,0,110,0,279,0,0,342,0,543,4,0,341,3,218,6,0,674,0,276,0,0,609,11,307,0,0,683,25,226,3,0,635,27,149,4,0,422,25,80,0,0,347,20,50,0,0,487,30,73,0,0,235,39,24,0,0,87,27,12,0,0,49,21,20,0,0,20,9,0,0,0,8,3,3,0,0,6,7,10,0,0,10,5,4,0,0,5,0,0,0,0,557,64,84,0,0,125,10,158,12,0,0,0,0,666,1126,5996,334,2795,700,1126
"4115, QLD",8,0,3,0,0,44,0,24,0,0,23,0,12,0,0,28,0,44,0,0,26,0,49,0,0,75,0,125,0,0,106,0,90,0,0,285,4,78,0,0,268,5,93,3,0,345,10,119,0,0,361,17,86,0,0,342,14,56,0,0,323,9,49,0,0,775,20,60,0,0,564,19,18,0,0,347,24,5,0,0,229,11,20,0,0,123,19,0,0,0,91,8,3,0,0,70,6,0,0,0,22,6,0,0,0,3,4,0,0,0,411,15,39,0,0,38,0,28,4,0,0,0,0,133,299,4908,185,990,150,299
"4116, QLD",12,0,5,0,0,99,0,68,0,0,55,0,12,0,0,66,3,41,0,0,40,0,46,0,0,127,0,112,0,0,119,0,72,0,0,334,3,82,0,0,364,12,109,6,0,530,10,115,6,0,517,23,114,7,0,417,27,90,0,0,455,29,54,0,0,909,45,83,6,0,632,25,27,0,0,362,38,4,0,0,275,17,22,0,0,131,18,7,0,0,111,15,0,0,0,92,9,0,0,0,53,15,0,0,0,9,0,0,0,0,561,53,59,0,0,54,0,28,23,0,0,0,0,249,399,6324,359,1139,298,399
"4117, QLD",0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,7,0,8,0,0,8,0,0,0,0,14,0,7,0,0,14,0,3,0,0,24,0,8,0,0,35,0,3,0,0,28,0,6,0,0,17,3,5,0,0,69,6,4,0,0,31,4,0,0,0,25,3,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,29,25,334,16,54,30,25
"4118, QLD",13,0,14,0,0,42,0,30,0,0,23,0,7,3,0,48,0,62,0,0,41,0,90,0,0,149,0,250,0,0,212,0,114,3,0,451,5,150,3,0,458,8,183,0,0,640,15,222,0,0,719,27,175,0,0,592,23,111,0,0,585,21,81,0,0,1200,50,87,0,0,735,49,19,0,0,310,42,5,0,0,210,18,12,0,0,98,17,3,0,0,78,15,0,0,0,49,16,0,0,0,24,3,0,0,0,7,0,0,0,0,675,39,51,0,0,102,3,73,13,0,0,0,0,406,465,7462,360,1732,438,465
"4119, QLD",6,0,0,0,0,24,0,9,0,0,3,0,5,0,0,9,0,18,0,0,10,0,25,0,0,39,0,60,0,0,42,0,27,0,0,69,0,26,3,0,93,0,42,0,0,122,0,36,0,0,131,9,27,0,0,127,0,17,0,0,112,6,20,0,0,224,6,12,0,0,158,6,7,0,0,85,10,3,0,0,66,5,7,0,0,39,0,0,0,0,33,0,0,0,0,22,3,0,0,0,11,0,0,0,0,0,0,0,0,0,139,15,16,0,0,12,0,11,0,0,0,0,0,83,138,1574,70,383,95,138
"4120, QLD",3,0,0,0,0,12,0,24,4,0,8,0,17,0,0,0,0,63,0,0,6,0,106,0,0,31,0,164,0,0,20,0,108,0,0,73,0,103,0,0,83,0,142,4,0,121,0,156,0,0,137,0,120,0,0,143,5,110,0,0,142,0,98,0,0,289,3,153,0,0,247,8,28,0,0,171,3,20,0,0,123,0,30,0,0,60,0,11,0,0,77,0,9,0,0,69,0,0,0,0,57,0,0,0,0,9,0,0,0,0,142,4,89,0,0,12,0,41,11,0,0,0,0,180,409,2060,25,1616,209,409
"4121, QLD",9,0,8,0,0,12,0,54,0,0,21,0,17,0,0,35,0,92,0,0,28,0,176,0,0,91,0,341,0,0,110,0,196,0,0,277,7,152,0,0,240,0,147,0,0,345,0,195,0,0,351,4,143,0,0,310,4,153,3,0,333,3,105,5,0,796,15,185,5,0,727,8,45,0,0,584,3,20,0,0,471,4,73,7,0,278,8,13,0,0,292,6,4,0,0,286,7,7,5,0,202,7,0,0,0,19,11,0,0,0,522,11,94,0,0,57,0,81,4,0,0,0,0,318,624,6384,110,2296,363,624
"4122, QLD",18,3,8,0,0,106,0,142,0,0,44,0,59,0,0,94,0,186,4,0,63,0,319,5,0,206,4,688,0,0,251,0,343,5,0,682,0,312,4,0,567,7,306,0,0,821,8,332,4,0,785,9,271,9,0,624,23,254,0,0,696,23,174,7,0,1385,40,265,9,0,1153,22,81,0,0,784,30,47,0,0,558,26,81,3,0,310,15,11,0,0,256,9,5,0,0,244,11,3,0,0,138,16,0,0,0,16,3,0,0,0,860,40,142,0,0,111,0,148,26,0,0,0,0,537,1080,10752,299,4190,614,1080
"4123, QLD",4,0,5,3,0,42,0,32,0,0,24,0,5,0,0,31,3,59,0,0,25,0,83,0,0,77,0,187,0,0,110,0,120,0,0,272,0,103,5,0,235,3,123,0,0,384,3,136,3,0,353,10,93,5,0,350,0,70,4,0,370,5,60,0,0,713,26,86,5,0,543,18,15,3,0,344,10,11,0,0,212,12,30,0,0,93,16,0,0,0,88,4,0,0,0,97,8,0,4,0,42,9,0,0,0,6,4,0,0,0,389,23,26,0,0,63,0,47,26,0,0,0,0,202,455,4871,154,1284,261,455
"4124, QLD",4,0,4,0,0,40,0,28,0,0,15,0,14,0,0,28,0,39,0,0,34,0,60,0,0,103,0,157,4,0,120,0,55,0,0,288,6,94,0,0,263,5,88,0,0,346,7,104,4,0,391,14,65,0,0,339,14,62,0,0,325,16,39,0,0,716,34,34,0,0,484,42,13,0,0,279,34,5,0,0,172,20,9,0,0,64,22,0,0,0,78,12,0,0,0,55,14,0,0,0,26,7,0,0,0,3,0,0,0,0,420,43,33,0,0,65,0,37,0,0,0,0,0,221,340,4666,282,932,235,340
"4125, QLD",3,0,0,0,0,14,0,16,0,0,7,0,5,0,0,13,0,23,0,0,5,0,61,0,0,41,0,145,0,0,34,0,97,0,0,188,0,40,0,0,102,3,41,0,0,140,0,37,4,0,133,3,15,0,0,85,0,8,0,0,116,5,11,0,0,222,12,7,0,0,133,16,3,0,0,108,10,0,0,0,57,14,3,0,0,36,8,0,0,0,22,3,0,0,0,19,6,0,0,0,6,4,0,0,0,5,0,0,0,0,188,18,6,0,0,33,0,31,7,0,0,0,0,104,147,1719,122,546,115,147
